Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,2461.6721,19.0,163856.6562
2.0,1997.1187,20.0,169460.9844
3.0,1750.3399,18.0,174830.375
4.0,1443.2112,18.0,180871.875
5.0,1392.7514,18.0,187240.8281
6.0,1332.6099,18.0,194718.8281
7.0,1321.0064,18.0,201461.3438
8.0,1203.2672,18.0,208423.3438
9.0,1203.2672,18.0,216697.625
10.0,1110.3606,18.0,224220.5938
11.0,1110.3606,18.0,230291.1875
12.0,1110.3606,18.0,237691.3594
13.0,1110.3606,18.0,243777.7031
14.0,1110.3606,18.0,249724.7344
15.0,1110.3606,18.0,255765.6562
16.0,1085.1789,18.0,261900.2344
17.0,1085.1789,18.0,268300.3438
18.0,1077.3271,18.0,275184.5625
19.0,1063.6069,18.0,281865.1719
20.0,1038.6236,18.0,287905.3594
21.0,1035.0984,18.0,294836.8125
22.0,1020.1413,18.0,301095.5
23.0,1020.1413,18.0,307479.8594
24.0,1020.1413,18.0,313942.2188
25.0,983.6938,18.0,320342.0
