Generation No.,Best Evaluation,Helicopters used,Comp time (ms)
1.0,1372.6384,11.0,140800.9375
2.0,1372.6384,11.0,145062.1875
3.0,1372.6384,11.0,149667.2969
4.0,1370.6146,11.0,154506.4375
5.0,1343.721,11.0,159532.8438
6.0,1330.2535,11.0,164918.4375
7.0,1180.6943,11.0,170428.6719
8.0,1180.6943,11.0,176360.6562
9.0,1165.453,11.0,182214.0938
10.0,1141.7946,11.0,187661.3594
11.0,1141.7946,11.0,192859.0312
12.0,1062.7804,11.0,198463.2031
13.0,1001.4639,11.0,203770.0781
14.0,1001.4639,11.0,208921.0312
15.0,1001.4639,11.0,214103.375
16.0,1001.4639,11.0,219363.8125
17.0,1001.4639,11.0,224499.1719
18.0,1001.4639,11.0,230384.6562
19.0,1001.4639,11.0,235613.1406
20.0,1001.4639,11.0,240701.6562
21.0,1001.4639,11.0,246009.0625
22.0,991.6341,12.0,251160.0
23.0,945.6681,12.0,256686.0938
24.0,908.4889,12.0,261993.0625
25.0,908.4889,12.0,267300.25
